name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
hats-5 b,804.0,0.237 Jupiters,12.598,Gas Giant,0.912 x Jupiter,0.0542 AU,4.8 days,0.02,hats-74 a b,HATS-74 A,Transit,106.9,3776.9,0.58,0.6,11h24m03.55s,-19d33m25.05s
hats-60 b,1587.0,0.662 Jupiters,12.662,Gas Giant,1.153 x Jupiter,0.04708 AU,3.6 days,0.19,hats-75 b,HATS-75,Transit,59.26,3790.4,0.58,0.6,04h03m47.85s,-25d24m32.12s
hats-61 b,2217.0,3.4 Jupiters,13.352,Gas Giant,1.195 x Jupiter,0.07908 AU,7.8 days,0.09,hats-76 b,HATS-76,Transit,129.8,4016.0,0.63,0.66,04h41m21.54s,-32d19m13.50s
hats-62 b,1706.0,0.179 Jupiters,14.171,Gas Giant,1.055 x Jupiter,0.04163 AU,3.3 days,0.3,hats-77 b,HATS-77,Transit,78.37,4071.0,0.64,0.66,09h59m17.68s,-27d23m34.14s
hats-63 b,2033.0,0.96 Jupiters,13.992,Gas Giant,1.207 x Jupiter,0.04026 AU,3.1 days,0.14,hats-8 b,HATS-8,Transit,,5679.0,1.09,1.06,19h39m46.01s,-25d44m54.12s
hats-64 b,3523.0,0.96 Jupiters,13.045,Gas Giant,1.679 x Jupiter,0.06562 AU,4.9 days,0.15,hats-9 b,HATS-9,Transit,,5599.0,1.56,1.1,19h23m14.44s,-20d09m58.96s
hats-65 b,1609.0,0.821 Jupiters,12.679,Gas Giant,1.501 x Jupiter,0.04497 AU,3.1 days,0.06,hd 100546 b,HD 100546,Imaging,,10500.0,1.85,2.4,11h33m25.32s,-70d11m41.24s
hats-66 b,4821.0,5.33 Jupiters,14.283,Gas Giant,1.411 x Jupiter,0.04714 AU,3.1 days,0.06,hd 100655 b,HD 100655,Radial Velocity,,4891.0,10.06,2.28,11h35m03.69s,+20d26m29.55s
hats-67 b,3132.0,1.45 Jupiters,13.698,Gas Giant,1.685 x Jupiter,0.03032 AU,1.6 days,0.06,hd 100777 b,HD 100777,Radial Velocity,,5533.0,1.04,0.83,11h35m51.51s,-04d45m19.95s
hats-68 b,1970.0,1.29 Jupiters,12.312,Gas Giant,1.232 x Jupiter,0.05071 AU,3.6 days,0.04,hd 10180 c,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-69 b,1352.0,0.577 Jupiters,14.074,Gas Giant,0.945 x Jupiter,0.03211 AU,2.2 days,0.52,hd 10180 d,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-6 b,552.0,0.319 Jupiters,15.044,Gas Giant,0.998 x Jupiter,0.03623 AU,3.3 days,0.0,hd 10180 e,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-70 b,4759.0,12.9 Jupiters,12.227,Gas Giant,1.384 x Jupiter,0.03632 AU,1.9 days,< 0.18,hd 10180 f,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-71 b,457.0,0.37 Jupiters,16.437,Gas Giant,1.024 x Jupiter,0.03745 AU,3.8 days,0.0,hd 10180 g,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-72 b,416.0,39.85588 Earths,12.324,Gas Giant,0.722 x Jupiter,0.066517 AU,7.3 days,< 0.013,hd 10180 h,HD 10180,Radial Velocity,,5911.0,1.11,1.06,01h37m53.55s,-60d30m41.36s
hats-74 a b,977.0,1.46 Jupiters,17.26,Gas Giant,1.032 x Jupiter,0.02384 AU,1.7 days,< 0.044,hd 101930 b,HD 101930,Radial Velocity,,5108.0,0.86,0.57,11h43m30.15s,-58d00m19.37s
hats-75 b,636.0,0.491 Jupiters,15.689,Gas Giant,0.884 x Jupiter,0.032742 AU,2.8 days,< 0.064,hd 102117 b,HD 102117,Radial Velocity,,5655.0,1.23,1.06,11h44m50.33s,-58d42m14.45s
hats-76 b,1258.0,2.629 Jupiters,16.68,Gas Giant,1.079 x Jupiter,0.02658 AU,1.9 days,< 0.062,hd 102195 b,HD 102195,Radial Velocity,,5301.0,0.82,0.76,11h45m42.10s,+02d49m15.57s
hats-77 b,1423.0,1.374 Jupiters,16.195,Gas Giant,1.165 x Jupiter,0.03607 AU,3.1 days,< 0.045,hd 102272 b,HD 102272,Radial Velocity,,4790.0,10.3,1.45,11h46m23.53s,+14d07m26.47s
hats-7 b,785.0,38.1396 Earths,13.347,Gas Giant,0.563 x Jupiter,0.04012 AU,3.2 days,< 0.17,hd 102329 b,HD 102329,Radial Velocity,,4745.0,9.82,3.21,11h46m46.60s,+03d28m27.17s
hats-8 b,2592.0,0.138 Jupiters,14.512,Gas Giant,0.873 x Jupiter,0.04667 AU,3.6 days,< 0.376,hd 102329 c,HD 102329,Radial Velocity,,4830.0,6.3,1.3,11h46m46.60s,+03d28m27.17s
hats-9 b,2083.0,0.837 Jupiters,13.256,Gas Giant,1.236 x Jupiter,0.0312 AU,1.9 days,< 0.075,hd 102365 b,HD 102365,Radial Velocity,,5630.0,0.95,0.85,11h46m28.99s,-40d29m55.04s
hd 100546 b,358.0,752 Jupiters,6.69,Gas Giant,6.9 x Jupiter,53.0 AU,249.2 years,0.0,hd 102843 b,HD 102843,Radial Velocity,,5436.0,0.96,0.95,11h50m20.51s,-01d15m08.28s
hd 100655 b,447.0,1.61 Jupiters,6.4421,Gas Giant,1.21 x Jupiter,0.68 AU,157.6 days,0.09,hd 102956 b,HD 102956,Radial Velocity,,4985.0,4.55,1.66,11h51m22.49s,+57d38m26.37s
hd 100777 b,162.0,1.03 Jupiters,8.42,Gas Giant,1.23 x Jupiter,1.03 AU,383.7 days,0.36,hd 103197 b,HD 103197,Radial Velocity,,5250.0,0.88,0.8,11h52m52.85s,-50d17m34.05s
hd 10180 c,127.0,13.1 Earths,7.33,Neptune-like,0.328 x Jupiter,0.06412 AU,5.8 days,0.07,hd 103720 b,HD 103720,Radial Velocity,,5017.0,0.73,0.79,11h56m41.12s,-02d46m44.90s
hd 10180 d,127.0,11.75 Earths,7.33,Neptune-like,0.308 x Jupiter,0.12859 AU,16.4 days,0.13,hd 103774 b,HD 103774,Radial Velocity,,6489.0,1.58,1.33,11h56m55.46s,-12d06m28.78s
hd 10180 e,127.0,25.1 Earths,7.33,Neptune-like,0.481 x Jupiter,0.2699 AU,49.7 days,0.05,hd 103949 b,HD 103949,Radial Velocity,,4792.0,0.75,0.77,11h58m11.51s,-23d55m26.84s
hd 10180 f,127.0,23.9 Earths,7.33,Neptune-like,0.468 x Jupiter,0.4929 AU,122.7 days,0.12,hd 104067 b,HD 104067,Radial Velocity,,4937.0,0.74,0.62,11h59m10.17s,-20d21m20.18s
hd 10180 g,127.0,21.4 Earths,7.33,Neptune-like,0.438 x Jupiter,1.427 AU,1.7 years,0.26,hd 10442 b,HD 10442,Radial Velocity,,4912.0,1.97,1.01,01h41m53.17s,+02d42m15.91s
hd 10180 h,127.0,0.203 Jupiters,7.33,Gas Giant,0.838 x Jupiter,3.381 AU,6 years,0.1,hd 104985 b,HD 104985,Radial Velocity,,4877.0,11.0,2.3,12h05m15.79s,+76d54m19.21s
hd 101930 b,98.0,0.25 Jupiters,8.21,Gas Giant,0.949 x Jupiter,0.3 AU,70.5 days,0.11,hd 106252 b,HD 106252,Radial Velocity,,5874.0,1.1,1.01,12h13m29.53s,+10d02m25.55s
hd 102117 b,129.0,0.17 Jupiters,7.47,Gas Giant,0.756 x Jupiter,0.15 AU,20.8 days,0.12,hd 106270 b,HD 106270,Radial Velocity,,5509.0,2.66,1.39,12h13m37.18s,-09d30m48.83s
hd 102195 b,96.0,0.41 Jupiters,8.07,Gas Giant,1.27 x Jupiter,0.05 AU,4.1 days,0.0,hd 106315 b,HD 106315,Transit,240.0,6327.0,1.3,1.09,12h13m53.39s,-00d23m36.37s
hd 102272 b,1132.0,4.94 Jupiters,8.69,Gas Giant,1.15 x Jupiter,0.51 AU,127.6 days,0.05,hd 106315 c,HD 106315,Transit,83.0,6327.0,1.3,1.09,12h13m53.39s,-00d23m36.37s
hd 102329 b,708.0,8.16 Jupiters,7.88,Gas Giant,1.12 x Jupiter,1.81 AU,2.1 years,0.21,hd 10647 b,HD 10647,Radial Velocity,,6218.0,1.1,1.11,01h42m29.60s,-53d44m28.63s
