name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
kepler-230 c,2416.0,4.82 Earths,15.264,Super Earth,2.04 x Earth,0.38 AU,91.8 days,0.0,kepler-212 b,Kepler-212,Transit,133.87,5852.0,1.46,1.17,19h10m29.00s,+43d08m29.85s
kepler-231 b,1033.0,35.4 Earths,15.813,Super Earth,1.73 x Earth,0.074 AU,10.1 days,0.0,kepler-212 c,Kepler-212,Transit,54.66,5852.0,1.46,1.17,19h10m29.00s,+43d08m29.85s
kepler-231 c,1033.0,24.1 Earths,15.813,Super Earth,1.93 x Earth,0.114 AU,19.3 days,0.0,kepler-213 b,Kepler-213,Transit,833.47,5696.0,1.2,1.07,19h23m17.81s,+44d38m50.22s
kepler-232 b,4401.0,9.69 Earths,15.565,Neptune-like,0.275 x Jupiter,0.054 AU,4.4 days,0.0,kepler-213 c,Kepler-213,Transit,339.54,5696.0,1.2,1.07,19h23m17.81s,+44d38m50.22s
kepler-232 c,4401.0,14 Earths,15.565,Neptune-like,0.342 x Jupiter,0.101 AU,11.4 days,0.0,kepler-214 b,Kepler-214,Transit,196.4,6169.0,1.35,1.11,18h59m01.16s,+44d57m21.78s
kepler-233 b,2794.0,6.48 Earths,15.477,Neptune-like,0.217 x Jupiter,0.077 AU,8.5 days,0.0,kepler-214 c,Kepler-214,Transit,87.24,6169.0,1.35,1.11,18h59m01.16s,+44d57m21.78s
kepler-233 c,2794.0,7.8 Earths,15.477,Neptune-like,0.242 x Jupiter,0.287 AU,60.4 days,0.0,kepler-215 b,Kepler-215,Transit,105.07,5739.0,1.03,0.94,19h39m53.65s,+45d12m49.27s
kepler-234 b,5653.0,13.2 Earths,15.747,Neptune-like,0.33 x Jupiter,0.04 AU,2.7 days,0.0,kepler-215 c,Kepler-215,Transit,57.69,5739.0,1.03,0.94,19h39m53.65s,+45d12m49.27s
kepler-234 c,5653.0,12.1 Earths,15.747,Neptune-like,0.313 x Jupiter,0.077 AU,7.2 days,0.0,kepler-215 d,Kepler-215,Transit,21.4,5739.0,1.03,0.94,19h39m53.65s,+45d12m49.27s
kepler-235 b,1396.0,5.6 Earths,16.567,Neptune-like,2.23 x Earth,0.037 AU,3.3 days,0.0,kepler-215 e,Kepler-215,Transit,7.44,5739.0,1.03,0.94,19h39m53.65s,+45d12m49.27s
kepler-235 c,1396.0,2.18 Earths,16.567,Super Earth,1.28 x Earth,0.065 AU,7.8 days,0.0,kepler-216 b,Kepler-216,Transit,540.03,6091.0,1.26,1.11,19h34m54.74s,+46d07m44.81s
kepler-235 d,1396.0,4.86 Earths,16.567,Super Earth,2.05 x Earth,0.122 AU,20.1 days,0.0,kepler-216 c,Kepler-216,Transit,182.06,6091.0,1.26,1.11,19h34m54.74s,+46d07m44.81s
kepler-235 e,1396.0,5.56 Earths,16.567,Neptune-like,2.22 x Earth,0.213 AU,46.2 days,0.0,kepler-217 b,Kepler-217,Transit,1366.48,6171.0,1.8,1.14,19h32m09.06s,+46d16m39.08s
kepler-236 b,942.0,3.09 Earths,16.014,Super Earth,1.57 x Earth,0.065 AU,8.3 days,0.0,kepler-217 c,Kepler-217,Transit,730.81,6171.0,1.8,1.14,19h32m09.06s,+46d16m39.08s
kepler-236 c,942.0,4.66 Earths,16.014,Super Earth,2.0 x Earth,0.132 AU,24 days,0.0,kepler-217 d,Kepler-217,Transit,2099.75,6341.0,1.76,1.37,19h32m09.06s,+46d16m39.08s
kepler-237 b,2146.0,2.57 Earths,15.689,Super Earth,1.41 x Earth,0.05 AU,4.7 days,0.0,kepler-218 b,Kepler-218,Transit,460.66,5502.0,1.06,1.02,19h41m39.09s,+46d15m59.69s
kepler-237 c,2146.0,4.98 Earths,15.689,Super Earth,2.08 x Earth,0.071 AU,8.1 days,0.0,kepler-218 c,Kepler-218,Transit,16.15,5502.0,1.06,1.02,19h41m39.09s,+46d15m59.69s
kepler-238 b,5868.0,3.64 Earths,15.297,Super Earth,1.73 x Earth,0.034 AU,2.1 days,0.0,kepler-218 d,Kepler-218,Transit,4.12,5542.0,1.02,1.01,19h41m39.09s,+46d15m59.69s
kepler-238 c,5868.0,6.3 Earths,15.297,Neptune-like,0.213 x Jupiter,0.069 AU,6.2 days,0.0,kepler-219 b,Kepler-219,Transit,456.73,5786.0,1.49,1.17,19h14m57.35s,+46d45m45.33s
kepler-238 d,5868.0,9.64 Earths,15.297,Neptune-like,0.274 x Jupiter,0.115 AU,13.2 days,0.0,kepler-219 c,Kepler-219,Transit,54.1,5786.0,1.49,1.17,19h14m57.35s,+46d45m45.33s
kepler-238 e,5868.0,0.534 Jupiters,15.297,Neptune-like,0.5 x Jupiter,0.1658 AU,23.7 days,0.0,kepler-219 d,Kepler-219,Transit,20.01,5786.0,1.49,1.17,19h14m57.35s,+46d45m45.33s
kepler-238 f,5868.0,13.5 Earths,15.297,Super Earth,2.0 x Earth,0.2747 AU,50.4 days,0.0,kepler-22 b,Kepler-22,Transit,0.96,5518.0,0.98,0.97,19h16m52.13s,+47d53m02.91s
kepler-239 b,2114.0,6.04 Earths,15.252,Neptune-like,0.208 x Jupiter,0.095 AU,11.8 days,0.0,kepler-220 b,Kepler-220,Transit,105.0,4632.0,0.67,0.65,19h26m01.45s,+46d53m44.25s
kepler-239 c,2114.0,6.85 Earths,15.252,Neptune-like,0.224 x Jupiter,0.268 AU,56.2 days,0.0,kepler-220 c,Kepler-220,Transit,37.32,4632.0,0.67,0.65,19h26m01.45s,+46d53m44.25s
kepler-23 b,2726.0,0.8 Jupiters,13.567,Neptune-like,1.9 x Earth,0.075 AU,7.1 days,0.06,kepler-220 d,Kepler-220,Transit,8.21,4632.0,0.67,0.65,19h26m01.45s,+46d53m44.25s
kepler-23 c,2726.0,2.7 Jupiters,13.567,Neptune-like,0.285 x Jupiter,0.099 AU,10.7 days,0.02,kepler-220 e,Kepler-220,Transit,4.27,4632.0,0.67,0.65,19h26m01.45s,+46d53m44.25s
kepler-23 d,2726.0,17.6 Earths,13.567,Super Earth,2.2 x Earth,0.124 AU,15.3 days,0.08,kepler-221 b,Kepler-221,Transit,308.88,5243.0,0.82,0.82,19h46m37.14s,+46d50m06.81s
kepler-240 b,2436.0,2.45 Earths,15.953,Super Earth,1.37 x Earth,0.048 AU,4.1 days,0.0,kepler-221 c,Kepler-221,Transit,119.84,5243.0,0.82,0.82,19h46m37.14s,+46d50m06.81s
kepler-240 c,2436.0,0.322 Jupiters,15.953,Super Earth,2.2 x Earth,0.074 AU,8 days,0.0,kepler-221 d,Kepler-221,Transit,56.29,5243.0,0.82,0.82,19h46m37.14s,+46d50m06.81s
kepler-241 b,1670.0,6.04 Earths,15.708,Neptune-like,0.208 x Jupiter,0.094 AU,12.7 days,0.0,kepler-221 e,Kepler-221,Transit,25.16,5243.0,0.82,0.82,19h46m37.14s,+46d50m06.81s
kepler-241 c,1670.0,7.13 Earths,15.708,Neptune-like,0.229 x Jupiter,0.189 AU,36.1 days,0.0,kepler-222 b,Kepler-222,Transit,206.77,5433.0,0.87,0.88,19h11m37.46s,+46d56m15.89s
kepler-242 b,1958.0,7.32 Earths,15.489,Neptune-like,0.233 x Jupiter,0.075 AU,8.2 days,0.0,kepler-222 c,Kepler-222,Transit,59.08,5433.0,0.87,0.88,19h11m37.46s,+46d56m15.89s
kepler-242 c,1958.0,4.66 Earths,15.489,Super Earth,2.0 x Earth,0.109 AU,14.5 days,0.0,kepler-222 d,Kepler-222,Transit,15.09,5433.0,0.87,0.88,19h11m37.46s,+46d56m15.89s
kepler-243 b,2263.0,6.57 Earths,15.159,Neptune-like,0.219 x Jupiter,0.062 AU,5.7 days,0.0,kepler-223 b,Kepler-223,Transit,444.05,5803.0,1.72,1.12,19h53m16.41s,+47d16m46.14s
kepler-243 c,2263.0,4.62 Earths,15.159,Super Earth,1.99 x Earth,0.142 AU,20 days,0.0,kepler-223 c,Kepler-223,Transit,302.47,5803.0,1.72,1.12,19h53m16.41s,+47d16m46.14s
kepler-244 b,3381.0,8.05 Earths,15.747,Neptune-like,0.246 x Jupiter,0.05 AU,4.3 days,0.0,kepler-223 d,Kepler-223,Transit,175.95,5803.0,1.72,1.12,19h53m16.41s,+47d16m46.14s
kepler-244 c,3381.0,4.86 Earths,15.747,Super Earth,2.05 x Earth,0.087 AU,9.8 days,0.0,kepler-223 e,Kepler-223,Transit,119.88,5803.0,1.72,1.12,19h53m16.41s,+47d16m46.14s
kepler-244 d,3381.0,15.2 Earths,15.747,Super Earth,0.206 x Jupiter,0.14 AU,20.1 days,0.0,kepler-224 b,Kepler-224,Transit,201.49,5018.0,0.68,0.82,19h23m44.22s,+47d21m27.15s
kepler-245 b,2810.0,7.13 Earths,15.546,Neptune-like,0.229 x Jupiter,0.071 AU,7.5 days,0.0,kepler-224 c,Kepler-224,Transit,86.33,5018.0,0.68,0.82,19h23m44.22s,+47d21m27.15s
kepler-245 c,2810.0,0.71 Jupiters,15.546,Super Earth,2.18 x Earth,0.124 AU,17.5 days,0.0,kepler-224 d,Kepler-224,Transit,36.29,5018.0,0.68,0.82,19h23m44.22s,+47d21m27.15s
kepler-245 d,2810.0,21.6 Earths,15.546,Neptune-like,0.27 x Jupiter,0.202 AU,36.3 days,0.0,kepler-224 e,Kepler-224,Transit,18.73,5018.0,0.68,0.82,19h23m44.22s,+47d21m27.15s
kepler-245 e,2810.0,3.71 Earths,15.546,Super Earth,1.75 x Earth,0.04 AU,3.2 days,0.0,kepler-225 b,Kepler-225,Transit,38.88,3682.0,0.48,0.59,19h28m46.56s,+47d27m25.49s
kepler-246 b,2042.0,6.08 Earths,15.197,Neptune-like,0.209 x Jupiter,0.052 AU,4.6 days,0.0,kepler-225 c,Kepler-225,Transit,9.9,3682.0,0.48,0.59,19h28m46.56s,+47d27m25.49s
kepler-246 c,2042.0,2.86 Earths,15.197,Super Earth,1.5 x Earth,0.095 AU,11.2 days,0.0,kepler-226 b,Kepler-226,Transit,270.4,5571.0,0.8,0.91,19h29m30.26s,+47d52m51.45s
kepler-247 b,2165.0,3.33 Earths,15.199,Super Earth,1.64 x Earth,0.042 AU,3.3 days,0.0,kepler-226 c,Kepler-226,Transit,180.51,5571.0,0.8,0.91,19h29m30.26s,+47d52m51.45s
kepler-247 c,2165.0,15.7 Earths,15.199,Neptune-like,0.365 x Jupiter,0.084 AU,9.4 days,0.0,kepler-226 d,Kepler-226,Transit,103.64,5571.0,0.8,0.91,19h29m30.26s,+47d52m51.45s
kepler-247 d,2165.0,14.7 Earths,15.199,Neptune-like,0.352 x Jupiter,0.14 AU,20.5 days,0.0,kepler-227 b,Kepler-227,Transit,104.64,5854.0,1.09,0.92,19h27m44.23s,+48d08m30.03s
kepler-248 b,2410.0,9.38 Earths,15.506,Neptune-like,0.269 x Jupiter,0.066 AU,6.3 days,0.0,kepler-227 c,Kepler-227,Transit,10.19,5854.0,1.09,0.92,19h27m44.23s,+48d08m30.03s
kepler-248 c,2410.0,15.6 Earths,15.506,Neptune-like,0.363 x Jupiter,0.123 AU,16.2 days,0.0,kepler-228 b,Kepler-228,Transit,863.78,6043.0,1.01,0.95,19h45m08.66s,+48d13m28.68s
kepler-249 b,621.0,1.32 Earths,16.37,Super Earth,1.09 x Earth,0.035 AU,3.3 days,0.0,kepler-228 c,Kepler-228,Transit,457.32,6043.0,1.01,0.95,19h45m08.66s,+48d13m28.68s
kepler-249 c,621.0,2.89 Earths,16.37,Super Earth,1.51 x Earth,0.058 AU,7.1 days,0.0,kepler-228 d,Kepler-228,Transit,122.78,6043.0,1.01,0.95,19h45m08.66s,+48d13m28.68s
kepler-249 d,621.0,3.09 Earths,16.37,Super Earth,1.57 x Earth,0.097 AU,15.4 days,0.0,kepler-229 b,Kepler-229,Transit,76.22,5120.0,0.73,0.8,19h07m59.87s,+48d22m32.83s
kepler-24 b,3774.0,1.6 Jupiters,15.04,Neptune-like,0.214 x Jupiter,0.08 AU,8.1 days,0.0,kepler-229 c,Kepler-229,Transit,21.64,5120.0,0.73,0.8,19h07m59.87s,+48d22m32.83s
kepler-24 c,3774.0,1.6 Jupiters,15.04,Neptune-like,0.25 x Jupiter,0.106 AU,12.3 days,0.0,kepler-229 d,Kepler-229,Transit,6.16,5120.0,0.73,0.8,19h07m59.87s,+48d22m32.83s
kepler-24 d,3774.0,3.43 Earths,15.04,Super Earth,1.67 x Earth,0.051 AU,4.2 days,0.0,kepler-23 b,Kepler-23,Transit,446.11,5760.0,1.52,1.11,19h36m52.54s,+49d28m45.31s
kepler-24 e,3774.0,8.15 Earths,15.04,Neptune-like,0.248 x Jupiter,0.138 AU,19 days,0.0,kepler-23 c,Kepler-23,Transit,257.39,5760.0,1.52,1.11,19h36m52.54s,+49d28m45.31s
kepler-250 b,2481.0,1.51 Earths,15.819,Super Earth,1.13 x Earth,0.048 AU,4.1 days,0.0,kepler-23 d,Kepler-23,Transit,161.04,5828.0,1.55,1.1,19h36m52.54s,+49d28m45.31s
kepler-250 c,2481.0,5.82 Earths,15.819,Neptune-like,0.203 x Jupiter,0.069 AU,7.2 days,0.0,kepler-230 b,Kepler-230,Transit,11.82,5588.0,0.82,0.84,19h02m52.46s,+48d30m20.89s
kepler-250 d,2481.0,5.39 Earths,15.819,Neptune-like,2.18 x Earth,0.127 AU,17.6 days,0.0,kepler-230 c,Kepler-230,Transit,2.98,5588.0,0.82,0.84,19h02m52.46s,+48d30m20.89s
kepler-251 b,3016.0,2.33 Earths,15.541,Super Earth,1.33 x Earth,0.053 AU,4.8 days,0.0,kepler-231 b,Kepler-231,Transit,14.88,3767.0,0.49,0.58,19h35m53.61s,+50d31m54.65s
kepler-251 c,3016.0,8.1 Earths,15.541,Neptune-like,0.247 x Jupiter,0.122 AU,16.5 days,0.0,kepler-231 c,Kepler-231,Transit,6.27,3767.0,0.49,0.58,19h35m53.61s,+50d31m54.65s
kepler-251 d,3016.0,8.1 Earths,15.541,Neptune-like,0.247 x Jupiter,0.182 AU,30.1 days,0.0,kepler-232 b,Kepler-232,Transit,410.58,5847.0,0.97,0.97,19h43m15.88s,+51d07m18.21s
kepler-251 e,3016.0,8.1 Earths,15.541,Neptune-like,0.247 x Jupiter,0.404 AU,99.6 days,0.0,kepler-232 c,Kepler-232,Transit,116.52,5847.0,0.97,0.97,19h43m15.88s,+51d07m18.21s
kepler-252 b,1238.0,2.04 Earths,15.406,Super Earth,1.23 x Earth,0.058 AU,6.7 days,0.0,kepler-233 b,Kepler-233,Transit,85.13,5360.0,0.76,0.85,19h45m27.96s,+51d19m10.04s
kepler-252 c,1238.0,5.27 Earths,15.406,Neptune-like,2.15 x Earth,0.08 AU,10.8 days,0.0,kepler-233 c,Kepler-233,Transit,6.2,5360.0,0.76,0.85,19h45m27.96s,+51d19m10.04s
kepler-253 b,2735.0,3.29 Earths,15.778,Super Earth,1.63 x Earth,0.046 AU,3.8 days,0.0,kepler-234 b,Kepler-234,Transit,1007.72,6224.0,1.11,1.11,19h26m36.85s,+38d29m40.77s
kepler-253 c,2735.0,7.51 Earths,15.778,Neptune-like,0.236 x Jupiter,0.089 AU,10.3 days,0.0,kepler-234 c,Kepler-234,Transit,273.3,6224.0,1.11,1.11,19h26m36.85s,+38d29m40.77s
kepler-253 d,2735.0,10.2 Earths,15.778,Neptune-like,0.283 x Jupiter,0.13 AU,18.1 days,0.0,kepler-235 b,Kepler-235,Transit,44.0,4255.0,0.55,0.58,19h04m18.98s,+39d16m41.65s
kepler-254 b,4532.0,14.3 Earths,16.012,Neptune-like,0.345 x Jupiter,0.064 AU,5.8 days,0.0,kepler-235 c,Kepler-235,Transit,14.2,4255.0,0.55,0.58,19h04m18.98s,+39d16m41.65s
kepler-254 c,4532.0,3.2 Earths,16.012,Neptune-like,2.15 x Earth,0.105 AU,12.4 days,0.0,kepler-235 d,Kepler-235,Transit,4.03,4255.0,0.55,0.58,19h04m18.98s,+39d16m41.65s
kepler-254 d,4532.0,6.8 Earths,16.012,Neptune-like,0.223 x Jupiter,0.139 AU,18.7 days,0.0,kepler-235 e,Kepler-235,Transit,1.33,4255.0,0.55,0.58,19h04m18.98s,+39d16m41.65s
kepler-255 b,3433.0,3.02 Earths,15.699,Super Earth,1.55 x Earth,0.063 AU,5.7 days,0.0,kepler-236 b,Kepler-236,Transit,15.63,3750.0,0.51,0.6,18h55m27.94s,+39d53m53.49s
kepler-255 c,3433.0,9.22 Earths,15.699,Neptune-like,0.267 x Jupiter,0.092 AU,9.9 days,0.0,kepler-236 c,Kepler-236,Transit,3.8,3750.0,0.51,0.6,18h55m27.94s,+39d53m53.49s
kepler-255 d,3433.0,2.3 Earths,15.699,Super Earth,1.32 x Earth,0.0192 AU,1 days,0.0,kepler-237 b,Kepler-237,Transit,124.96,4861.0,0.72,0.7,18h52m53.12s,+40d25m18.34s
kepler-256 b,3348.0,3.15 Earths,15.178,Super Earth,1.59 x Earth,0.027 AU,1.6 days,0.0,kepler-237 c,Kepler-237,Transit,60.64,4861.0,0.72,0.7,18h52m53.12s,+40d25m18.34s
kepler-256 c,3348.0,5.27 Earths,15.178,Neptune-like,2.15 x Earth,0.045 AU,3.4 days,0.0,kepler-238 b,Kepler-238,Transit,2500.59,5751.0,1.43,1.06,19h11m35.31s,+40d38m16.13s
kepler-256 d,3348.0,6.71 Earths,15.178,Neptune-like,0.221 x Jupiter,0.064 AU,5.8 days,0.0,kepler-238 c,Kepler-238,Transit,592.3,5751.0,1.43,1.06,19h11m35.31s,+40d38m16.13s
kepler-256 e,3348.0,6.12 Earths,15.178,Neptune-like,0.21 x Jupiter,0.096 AU,10.7 days,0.0,kepler-238 d,Kepler-238,Transit,213.48,5751.0,1.43,1.06,19h11m35.31s,+40d38m16.13s
kepler-257 b,2545.0,7.32 Earths,15.652,Neptune-like,0.233 x Jupiter,0.034 AU,2.4 days,0.0,kepler-238 e,Kepler-238,Transit,98.46,5732.0,0.96,1.06,19h11m35.31s,+40d38m16.13s
kepler-257 c,2545.0,25.2 Earths,15.652,Neptune-like,0.483 x Jupiter,0.066 AU,6.6 days,0.0,kepler-238 f,Kepler-238,Transit,35.87,5732.0,0.96,1.06,19h11m35.31s,+40d38m16.13s
kepler-257 d,2545.0,21.7 Earths,15.652,Neptune-like,0.442 x Jupiter,0.16 AU,24.7 days,0.0,kepler-239 b,Kepler-239,Transit,34.75,4914.0,0.76,0.76,19h36m48.49s,+40d39m47.99s
kepler-258 b,1879.0,15.5 Earths,15.49,Neptune-like,0.362 x Jupiter,0.103 AU,13.2 days,0.0,kepler-239 c,Kepler-239,Transit,4.32,4914.0,0.76,0.76,19h36m48.49s,+40d39m47.99s
kepler-258 c,1879.0,12.7 Earths,15.49,Neptune-like,0.322 x Jupiter,0.193 AU,33.7 days,0.0,kepler-24 b,Kepler-24,Transit,252.25,5800.0,1.07,1.03,19h21m39.18s,+38d20m37.42s
kepler-259 b,3269.0,8.25 Earths,15.378,Neptune-like,0.25 x Jupiter,0.079 AU,8.1 days,0.0,kepler-24 c,Kepler-24,Transit,144.83,5800.0,1.07,1.03,19h21m39.18s,+38d20m37.42s
kepler-259 c,3269.0,7.75 Earths,15.378,Neptune-like,0.241 x Jupiter,0.217 AU,36.9 days,0.0,kepler-24 d,Kepler-24,Transit,601.89,5897.0,1.29,0.98,19h21m39.18s,+38d20m37.42s
kepler-25 b,793.0,8.7 Earths,10.769,Neptune-like,0.245 x Jupiter,0.0685 AU,6.2 days,0.0,kepler-24 e,Kepler-24,Transit,81.51,5897.0,1.29,0.98,19h21m39.18s,+38d20m37.42s
kepler-25 c,793.0,15.2 Earths,10.769,Neptune-like,0.465 x Jupiter,0.1101 AU,12.7 days,0.01,kepler-240 b,Kepler-240,Transit,142.74,4985.0,0.74,0.75,19h24m38.10s,+40d45m00.76s
kepler-25 d,793.0,0.226 Jupiters,10.769,Gas Giant,0.894 x Jupiter,Unknown,122.4 days,0.13,kepler-240 c,Kepler-240,Transit,59.84,4985.0,0.74,0.75,19h24m38.10s,+40d45m00.76s
kepler-260 b,2046.0,4.7 Earths,14.253,Super Earth,2.01 x Earth,0.075 AU,8.2 days,0.0,kepler-241 b,Kepler-241,Transit,23.6,4699.0,0.67,0.67,19h31m39.15s,+41d03m39.52s
kepler-260 c,2046.0,3.68 Earths,14.253,Super Earth,1.74 x Earth,0.332 AU,76.1 days,0.0,kepler-241 c,Kepler-241,Transit,5.88,4699.0,0.67,0.67,19h31m39.15s,+41d03m39.52s
kepler-261 b,1036.0,5.39 Earths,13.738,Neptune-like,2.18 x Earth,0.088 AU,10.4 days,0.0,kepler-242 b,Kepler-242,Transit,43.77,5020.0,0.85,0.81,19h06m15.77s,+41d48m30.30s
kepler-261 c,1036.0,4.66 Earths,13.738,Super Earth,2.0 x Earth,0.156 AU,24.6 days,0.0,kepler-242 c,Kepler-242,Transit,20.5,5020.0,0.85,0.81,19h06m15.77s,+41d48m30.30s
kepler-262 b,2000.0,2.42 Earths,14.478,Super Earth,1.36 x Earth,0.108 AU,13.1 days,0.0,kepler-243 b,Kepler-243,Transit,115.5,5228.0,0.84,0.83,19h00m26.52s,+42d02m02.26s
kepler-262 c,2000.0,3.33 Earths,14.478,Super Earth,1.64 x Earth,0.152 AU,21.9 days,0.0,kepler-243 c,Kepler-243,Transit,21.72,5228.0,0.84,0.83,19h00m26.52s,+42d02m02.26s
kepler-263 b,2462.0,7.61 Earths,15.435,Neptune-like,0.238 x Jupiter,0.12 AU,16.6 days,0.0,kepler-244 b,Kepler-244,Transit,242.47,5554.0,0.8,0.96,19h08m58.23s,+42d18m05.11s
kepler-263 c,2462.0,6.66 Earths,15.435,Neptune-like,0.22 x Jupiter,0.242 AU,47.3 days,0.0,kepler-244 c,Kepler-244,Transit,81.57,5554.0,0.8,0.96,19h08m58.23s,+42d18m05.11s
kepler-264 b,3073.0,11.1 Earths,13.15,Neptune-like,0.297 x Jupiter,0.249 AU,40.8 days,0.0,kepler-244 d,Kepler-244,Transit,31.27,5554.0,0.8,0.96,19h08m58.23s,+42d18m05.11s
kepler-264 c,3073.0,8.4 Earths,13.15,Neptune-like,0.252 x Jupiter,0.566 AU,140.1 days,0.0,kepler-245 b,Kepler-245,Transit,77.75,5100.0,0.8,0.86,19h26m33.36s,+42d26m10.85s
kepler-265 b,4176.0,4.12 Earths,15.47,Super Earth,1.86 x Earth,0.069 AU,6.8 days,0.0,kepler-245 c,Kepler-245,Transit,25.15,5100.0,0.8,0.86,19h26m33.36s,+42d26m10.85s
kepler-265 c,4176.0,7.41 Earths,15.47,Neptune-like,0.235 x Jupiter,0.127 AU,17 days,0.0,kepler-245 d,Kepler-245,Transit,9.49,5100.0,0.8,0.86,19h26m33.36s,+42d26m10.85s
kepler-265 d,4176.0,6.76 Earths,15.47,Neptune-like,0.222 x Jupiter,0.236 AU,43.1 days,0.0,kepler-245 e,Kepler-245,Transit,240.15,5174.0,0.8,0.86,19h26m33.36s,+42d26m10.85s
kepler-265 e,4176.0,7.22 Earths,15.47,Neptune-like,0.231 x Jupiter,0.319 AU,67.8 days,0.0,kepler-246 b,Kepler-246,Transit,141.61,5206.0,0.83,0.79,19h45m56.02s,+42d39m48.17s
kepler-266 b,4472.0,6.71 Earths,15.787,Neptune-like,0.221 x Jupiter,0.071 AU,6.6 days,0.0,kepler-246 c,Kepler-246,Transit,43.21,5206.0,0.83,0.79,19h45m56.02s,+42d39m48.17s
kepler-266 c,4472.0,14.4 Earths,15.787,Neptune-like,0.347 x Jupiter,0.457 AU,107.7 days,0.0,kepler-247 b,Kepler-247,Transit,216.11,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
kepler-267 b,864.0,37.9 Earths,16.69,Super Earth,1.98 x Earth,0.037 AU,3.4 days,0.0,kepler-247 c,Kepler-247,Transit,53.9,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
kepler-267 c,864.0,5.18 Earths,16.69,Neptune-like,2.13 x Earth,0.06 AU,6.9 days,0.0,kepler-247 d,Kepler-247,Transit,19.21,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
kepler-267 d,864.0,5.77 Earths,16.69,Neptune-like,0.203 x Jupiter,0.154 AU,28.5 days,0.0,kepler-248 b,Kepler-248,Transit,79.31,5190.0,0.83,0.9,19h32m14.72s,+43d34m52.89s
kepler-268 b,2779.0,7.04 Earths,13.844,Neptune-like,0.227 x Jupiter,0.18 AU,25.9 days,0.0,kepler-248 c,Kepler-248,Transit,22.46,5190.0,0.83,0.9,19h32m14.72s,+43d34m52.89s
kepler-268 c,2779.0,11.4 Earths,13.844,Neptune-like,0.302 x Jupiter,0.391 AU,83.4 days,0.0,kepler-249 b,Kepler-249,Transit,24.26,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
kepler-269 b,7363.0,6.66 Earths,15.646,Neptune-like,0.22 x Jupiter,0.061 AU,5.3 days,0.0,kepler-249 c,Kepler-249,Transit,12.53,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
kepler-269 c,7363.0,3.5 Earths,15.646,Super Earth,1.69 x Earth,0.081 AU,8.1 days,0.0,kepler-249 d,Kepler-249,Transit,4.47,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
kepler-26 b,1094.0,5.12 Earths,15.853,Neptune-like,0.248 x Jupiter,0.08551 AU,12.3 days,0.0,kepler-25 b,Kepler-25,Transit,542.96,6103.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
kepler-26 c,1094.0,6.2 Earths,15.853,Neptune-like,0.243 x Jupiter,0.10725 AU,17.3 days,0.0,kepler-25 c,Kepler-25,Transit,210.17,6354.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
kepler-26 d,1094.0,1.24 Earths,15.853,Super Earth,1.07 x Earth,0.039 AU,3.5 days,0.0,kepler-25 d,Kepler-25,Radial Velocity,,6270.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
kepler-26 e,1094.0,6.39 Earths,15.853,Neptune-like,0.215 x Jupiter,0.22 AU,46.8 days,0.0,kepler-250 b,Kepler-250,Transit,148.1,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
kepler-270 b,3095.0,4.7 Earths,13.9,Super Earth,2.01 x Earth,0.107 AU,11.5 days,0.0,kepler-250 c,Kepler-250,Transit,71.5,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
kepler-270 c,3095.0,3.78 Earths,13.9,Super Earth,1.77 x Earth,0.18 AU,25.3 days,0.0,kepler-250 d,Kepler-250,Transit,21.46,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
kepler-271 b,1320.0,2.04 Earths,13.578,Super Earth,1.23 x Earth,0.0881 AU,10.4 days,0.0,kepler-251 b,Kepler-251,Transit,203.17,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
kepler-271 c,1320.0,0.809 Earths,13.578,Terrestrial,0.95 x Earth,0.0702 AU,7.4 days,0.0,kepler-251 c,Kepler-251,Transit,38.95,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
kepler-271 d,1320.0,0.219 Earths,13.578,Terrestrial,0.66 x Earth,0.0558 AU,5.2 days,0.0,kepler-251 d,Kepler-251,Transit,17.48,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
kepler-272 b,2902.0,0.245 Jupiters,14.811,Super Earth,1.43 x Earth,0.038 AU,3 days,0.0,kepler-251 e,Kepler-251,Transit,3.55,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
kepler-272 c,2902.0,0.308 Jupiters,14.811,Super Earth,1.79 x Earth,0.061 AU,6.1 days,0.0,kepler-252 b,Kepler-252,Transit,39.26,4208.0,0.55,0.61,19h42m19.04s,+44d32m45.26s
